,base_market,quote_market,hedge_ratio,half_life,Coint P
0,SUSHI-USD,ATOM-USD,0.14574945966795178,13.0,0.0441
1,SUSHI-USD,CRV-USD,2.4649930156649646,9.0,0.0055
2,LTC-USD,SNX-USD,20.18591319246668,13.0,0.0435
3,LTC-USD,UMA-USD,20.29118739553779,16.0,0.0454
4,ALGO-USD,CELO-USD,0.21576055554751372,14.0,0.036
5,ICP-USD,UNI-USD,1.023068013226427,16.0,0.0128
6,ICP-USD,ETC-USD,0.39460988214026693,6.0,0.0
7,BCH-USD,LINK-USD,21.291732045322963,11.0,0.0002
8,BCH-USD,COMP-USD,4.884712683674968,11.0,0.0
9,BCH-USD,ADA-USD,584.125160650812,13.0,0.0012
10,BCH-USD,XLM-USD,3040.4166089772843,17.0,0.0138
11,BCH-USD,XMR-USD,2.9501419481307227,11.0,0.0
12,BCH-USD,EOS-USD,383.9927469652064,24.0,0.0308
13,BCH-USD,SNX-USD,95.78532973170451,15.0,0.0005
14,BCH-USD,1INCH-USD,700.5015948383427,24.0,0.014
15,BCH-USD,TRX-USD,3184.9311830971933,12.0,0.0001
16,BCH-USD,ZEC-USD,13.105462874483326,17.0,0.0053
17,BCH-USD,UMA-USD,96.28024870482315,17.0,0.0027
18,BCH-USD,FIL-USD,42.37468180652627,23.0,0.0156
19,LINK-USD,COMP-USD,0.2294135247298691,13.0,0.0195
20,LINK-USD,ADA-USD,27.421695857185405,12.0,0.0278
21,DOGE-USD,XLM-USD,1.1584438274311508,13.0,0.045
22,DOGE-USD,ATOM-USD,0.012598497381228514,17.0,0.0354
23,MATIC-USD,1INCH-USD,1.8656421437440431,7.0,0.0339
24,COMP-USD,ADA-USD,119.46108664563951,10.0,0.0013
25,COMP-USD,XMR-USD,0.603170994767469,16.0,0.0394
26,COMP-USD,TRX-USD,651.6633048342687,11.0,0.0335
27,XTZ-USD,XLM-USD,10.068514336305665,5.0,0.0029
28,XTZ-USD,EOS-USD,1.2716449290581462,13.0,0.0434
29,XTZ-USD,SNX-USD,0.31719949621948684,15.0,0.0322
30,XTZ-USD,1INCH-USD,2.321807112470328,10.0,0.0367
31,XTZ-USD,UMA-USD,0.31886380346985244,17.0,0.0465
32,YFI-USD,ATOM-USD,754.8421708581703,17.0,0.0201
33,YFI-USD,EOS-USD,8764.974436726843,10.0,0.0002
34,YFI-USD,ZEC-USD,299.0473190835585,8.0,0.0217
35,YFI-USD,FIL-USD,967.0119466859876,17.0,0.0205
36,ADA-USD,XMR-USD,0.005048770369830228,11.0,0.0103
37,ADA-USD,SNX-USD,0.16399534108595204,17.0,0.0144
38,ADA-USD,TRX-USD,5.450828948878472,15.0,0.0275
39,XMR-USD,EOS-USD,129.96011973365023,23.0,0.0
40,XMR-USD,SNX-USD,32.44410460593988,24.0,0.0001
41,XMR-USD,1INCH-USD,237.37318807553214,23.0,0.0002
42,XMR-USD,TRX-USD,1079.363661635154,18.0,0.0
43,XMR-USD,DOT-USD,14.08323718277912,24.0,0.0003
44,XMR-USD,ZEC-USD,4.437938474772498,18.0,0.0
45,ATOM-USD,UNI-USD,0.9478504073227427,24.0,0.0334
46,ATOM-USD,ETH-USD,0.003435348490781218,15.0,0.0088
47,ATOM-USD,CRV-USD,16.896480749826914,16.0,0.002
48,EOS-USD,ZEC-USD,0.03408471353585518,10.0,0.0056
49,EOS-USD,FIL-USD,0.11030936875132616,10.0,0.0018
50,1INCH-USD,CRV-USD,0.7973453871972606,10.0,0.0004
51,DOT-USD,ETH-USD,0.0027300497258954236,13.0,0.0386
52,DOT-USD,CRV-USD,13.432574321302486,12.0,0.0397
53,DOT-USD,BTC-USD,0.00015163843028875683,9.0,0.0078
54,ETH-USD,CRV-USD,4917.258045725501,12.0,0.0131
55,ZEC-USD,FIL-USD,3.23314815585646,14.0,0.0218
